property_id,transaction_date,transaction_price,census_tract_2010,cbsa_id
PROP000042,2021-06-25,730891.5708520705,06037100018,31080
PROP000043,2018-12-05,474359.09696823714,06037100007,31080
PROP000044,2017-07-08,635654.8002335969,06037100019,31080
PROP000045,2015-08-19,463382.85242338164,06037100009,31080
PROP000045,2016-12-10,499333.2700672134,06037100009,31080
PROP000046,2015-12-21,234916.15730506615,06037100004,31080
PROP000047,2015-08-13,367960.3381675657,06037100000,31080
PROP000047,2020-06-06,481848.19203078287,06037100000,31080
PROP000048,2017-05-22,208636.09317785353,06037100002,31080
PROP000049,2015-04-05,484504.29745239514,06037100013,31080
PROP000050,2018-01-05,439102.84063842404,06037100015,31080
PROP000050,2021-06-22,578809.9431207132,06037100015,31080
PROP000051,2016-10-19,501881.75514805265,06037100001,31080
PROP000052,2019-04-16,242341.2484402579,06037100000,31080
PROP000053,2017-04-24,606301.0054297891,06037100016,31080
PROP000053,2020-08-08,722179.7539376733,06037100016,31080
PROP000054,2015-08-10,324010.6159260472,06037100011,31080
PROP000054,2017-09-12,355024.86316518055,06037100011,31080
PROP000055,2016-03-18,609804.0640498141,06037100011,31080
PROP000056,2019-10-10,213963.16144149553,06037100016,31080
PROP000057,2016-05-18,577365.7080679304,06037100008,31080
PROP000057,2020-11-19,771090.6909280517,06037100008,31080
PROP000058,2015-08-03,794303.0852004039,06037100003,31080
PROP000059,2015-07-24,720269.9643258333,06037100015,31080
PROP000060,2019-07-25,342941.69144238764,06037100004,31080
PROP000061,2018-09-22,378581.1047055865,06037100016,31080
PROP000061,2020-02-14,412164.7334550632,06037100016,31080
PROP000062,2015-03-12,412943.1142776324,06037100003,31080
PROP000063,2018-03-26,579102.3273018795,06037100013,31080
PROP000063,2021-01-08,628749.9199699063,06037100013,31080
PROP000064,2015-07-13,758557.4634123755,06037100003,31080
PROP000064,2020-06-03,858991.2398610391,06037100003,31080
PROP000065,2019-11-11,270240.20985656354,06037100004,31080
PROP000065,2021-06-06,297163.0265231237,06037100004,31080
PROP000066,2019-08-10,437990.9611725511,06037100005,31080
PROP000067,2019-06-19,548783.2503360694,06037100001,31080
PROP000068,2018-01-07,791600.6382937225,06037100012,31080
PROP000069,2017-12-22,623050.6185779959,06037100005,31080
PROP000069,2019-12-20,722631.8694394331,06037100005,31080
PROP000070,2017-02-26,644584.316546401,06037100018,31080
PROP000071,2015-07-01,608623.6562581455,06037100007,31080
PROP000072,2015-06-21,777933.5236643668,06037100016,31080
PROP000073,2019-05-16,516620.6654517799,06037100011,31080
PROP000074,2017-04-25,513858.7065020893,06037100004,31080
PROP000075,2015-05-22,550588.5871538601,06037100008,31080
PROP000076,2017-12-10,770246.8904459352,06037100015,31080
PROP000077,2019-08-26,312872.69583425677,06037100011,31080
PROP000078,2016-12-05,784636.8845996999,06037100007,31080
PROP000078,2021-11-13,1031289.8328175234,06037100007,31080
PROP000079,2019-12-16,297570.1636069348,06037100000,31080
PROP000080,2019-09-02,249649.05202118368,06037100005,31080
PROP000081,2015-06-01,488222.0491198128,06037100012,31080
PROP000082,2019-10-25,781948.638688762,06037100014,31080
PROP000083,2016-09-03,280311.2712803799,06037100016,31080
PROP000083,2017-09-22,306247.05994496826,06037100016,31080
PROP000083,2019-01-10,329096.53785218333,06037100016,31080
PROP000084,2019-07-05,635672.5064431089,06037100004,31080
PROP000085,2015-01-19,364839.0782155453,06037100018,31080
PROP000086,2015-08-02,414897.6308197043,06037100003,31080
PROP000087,2016-02-22,663391.0350413836,06037100007,31080
PROP000088,2018-05-27,442089.71972743823,06037100017,31080
PROP000088,2019-12-08,503403.2350436791,06037100017,31080
PROP000088,2021-01-18,538842.6019968727,06037100017,31080
PROP000089,2018-02-06,564852.7097251312,06037100001,31080
PROP000089,2021-08-23,735738.5634214457,06037100001,31080
PROP000090,2018-09-06,470546.26844966266,06037100018,31080
PROP000091,2019-04-10,755952.5750968966,06037100009,31080
PROP000092,2016-06-21,408448.04493524856,06037100019,31080
PROP000092,2018-04-22,418718.33770913567,06037100019,31080
PROP000093,2017-06-16,584524.8468819287,06037100014,31080
PROP000094,2015-03-03,509141.63291852653,06037100007,31080
PROP000094,2020-01-21,703400.7993423177,06037100007,31080
PROP000095,2019-02-10,306206.29056604806,06037100018,31080
PROP000096,2015-12-26,736530.3577375554,06037100005,31080
PROP000097,2019-11-09,255374.35173724766,06037100016,31080
PROP000098,2017-01-26,720980.6642213521,06037100014,31080
PROP000098,2018-05-29,773116.0404330458,06037100014,31080
PROP000099,2016-12-23,518759.45238412044,06037100014,31080
PROP000099,2020-11-08,628591.1102600227,06037100014,31080
PROP000100,2017-07-03,737124.1026123196,06037100013,31080
PROP000101,2018-02-26,412488.00247587526,06037100013,31080
PROP000101,2020-09-27,474825.65457052673,06037100013,31080
PROP000102,2015-07-22,396498.4113067488,06037100009,31080
PROP000102,2017-01-11,420313.4575578682,06037100009,31080
PROP000103,2015-04-10,673502.743164403,06037100016,31080
PROP000103,2018-04-06,782870.3925663645,06037100016,31080
PROP000104,2015-12-19,427263.5755707736,06037100001,31080
PROP000104,2018-04-24,460898.87718941784,06037100001,31080
PROP000105,2016-11-24,498948.6187093641,06037100019,31080
PROP000105,2019-03-21,543656.0472825334,06037100019,31080
PROP000106,2017-08-23,705388.421178909,06037100015,31080
PROP000107,2019-04-24,267223.3413008314,06037100002,31080
PROP000107,2021-11-24,284754.285352322,06037100002,31080
PROP000108,2015-08-06,601185.9319546586,06037100010,31080
PROP000108,2020-04-22,906142.1570390547,06037100010,31080
PROP000109,2016-06-04,455261.8631698501,06037100011,31080
PROP000110,2018-01-26,660667.7008657033,06037100000,31080
PROP000110,2019-06-02,735145.8722101431,06037100000,31080
PROP000111,2019-11-03,231094.12209345616,06037100010,31080
PROP000112,2016-12-02,393412.3069848338,06037100009,31080
PROP000112,2021-02-26,517317.39500032767,06037100009,31080
PROP000113,2017-01-05,698371.6446726375,06037100016,31080
PROP000114,2019-08-11,763004.2740926227,06037100011,31080
PROP000114,2021-05-01,799431.3842219292,06037100011,31080
PROP000115,2018-08-11,677160.3871159342,06037100002,31080
PROP000115,2020-05-31,731469.7844131538,06037100002,31080
PROP000116,2018-09-13,552984.005477034,06037100013,31080
PROP000117,2017-06-01,648565.6281057507,06037100007,31080
PROP000117,2020-06-03,737532.9881487238,06037100007,31080
PROP000118,2016-05-08,337415.2345548778,06037100016,31080
PROP000118,2019-07-09,351141.80696415616,06037100016,31080
PROP000119,2019-01-20,644876.5466834273,06037100009,31080
PROP000120,2015-01-05,667143.1634304506,06037100003,31080
PROP000120,2016-07-31,703910.9025752032,06037100003,31080
PROP000120,2018-05-25,767829.429024807,06037100003,31080
PROP000121,2018-08-20,438372.3743362204,06037100005,31080
PROP000122,2018-12-13,632021.9219276446,06037100004,31080
PROP000123,2016-11-27,407417.5961023517,06037100018,31080
PROP000123,2018-08-19,470393.36209257157,06037100018,31080
PROP000124,2016-11-12,747111.4453057789,06037100009,31080
PROP000124,2018-06-03,799641.8561155053,06037100009,31080
PROP000125,2018-12-04,751250.3133564478,06037100007,31080
PROP000126,2016-01-26,241352.92362033128,06037100004,31080
PROP000126,2017-05-17,254455.1500939666,06037100004,31080
PROP000127,2017-07-01,267942.82750445313,06037100013,31080
PROP000128,2015-01-22,511302.8342756433,06037100013,31080
PROP000129,2015-05-09,323347.8850253825,06037100007,31080
PROP000129,2019-07-02,368064.5930978327,06037100007,31080
PROP000130,2017-06-02,479420.07339128794,06037100019,31080
PROP000130,2020-05-04,560528.1950113382,06037100019,31080
PROP000131,2017-12-27,284514.2122278799,06037100016,31080
PROP000131,2019-09-10,282606.0723703151,06037100016,31080
PROP000132,2017-06-26,207856.6739530002,06037100000,31080
PROP000132,2021-02-18,247486.06942647696,06037100000,31080
PROP000133,2015-01-20,448774.47423621424,06037100006,31080
PROP000133,2016-05-23,479136.4403916908,06037100006,31080
PROP000133,2019-10-09,570863.0147852533,06037100006,31080
PROP000133,2021-01-13,595846.430530292,06037100006,31080
PROP000134,2019-01-13,426635.5684641016,06037100018,31080
PROP000135,2017-02-02,520673.53475434816,06037100018,31080
PROP000136,2017-04-01,400617.6867862893,06037100016,31080
PROP000136,2018-07-20,434045.2868675953,06037100016,31080
PROP000137,2016-03-14,515947.07999557623,06037100002,31080
PROP000137,2020-05-26,620458.5072586115,06037100002,31080
PROP000138,2017-08-22,403562.74753771455,06037100002,31080
PROP000139,2015-12-15,632487.857786304,06037100004,31080
PROP000140,2017-04-20,600851.0819423877,06037100002,31080
PROP000141,2016-07-10,251305.11851268084,06037100013,31080
PROP000142,2017-04-18,735603.026646185,06037100018,31080
PROP000143,2017-10-02,417835.52731705434,06037100014,31080
PROP000143,2018-11-20,451477.63144474913,06037100014,31080
PROP000144,2015-02-21,376679.4557251506,06037100019,31080
PROP000144,2019-12-06,452717.59781286784,06037100019,31080
PROP000145,2017-07-17,490867.0202902077,06037100009,31080
PROP000145,2020-08-03,582933.9685003696,06037100009,31080
PROP000146,2019-09-07,330813.8644964519,06037100008,31080
PROP000147,2016-02-23,609910.3138672889,06037100013,31080
PROP000147,2020-06-06,838242.2697528811,06037100013,31080
PROP000148,2015-06-26,632121.5489793775,06037100001,31080
PROP000148,2016-11-27,680013.3228688547,06037100001,31080
PROP000149,2016-12-13,599022.0047277533,06037100005,31080
PROP000149,2018-08-26,647541.1808378004,06037100005,31080
PROP000150,2018-06-11,310622.5524073779,06037100013,31080
PROP000151,2019-05-11,373216.24206241994,06037100003,31080
PROP000151,2021-10-11,435850.75932595716,06037100003,31080
PROP000152,2017-06-02,437989.62383123254,06037100016,31080
PROP000153,2016-04-15,357358.426579895,06037100004,31080
PROP000153,2019-08-31,421290.0796917913,06037100004,31080
PROP000154,2015-10-02,263958.9518802631,06037100012,31080
PROP000155,2015-09-11,558971.6349608927,06037100008,31080
PROP000155,2018-07-13,619402.3119031864,06037100008,31080
PROP000156,2019-12-12,780619.6329242518,06037100002,31080
PROP000156,2020-12-18,815580.4810604228,06037100002,31080
PROP000157,2016-09-23,512780.4004481416,06037100016,31080
PROP000158,2017-08-21,655421.5073233099,06037100011,31080
PROP000158,2021-07-13,754589.5884909917,06037100011,31080
PROP000159,2015-02-25,587998.951470298,06037100015,31080
PROP000159,2018-12-03,714224.1515604898,06037100015,31080
PROP000159,2020-02-05,749947.0100981939,06037100015,31080
PROP000160,2016-05-22,749292.978552825,06037100015,31080
PROP000160,2017-07-10,773490.5439894202,06037100015,31080
PROP000161,2019-02-20,706729.6391210422,06037100017,31080
PROP000161,2021-05-30,826274.4404276469,06037100017,31080
PROP000162,2017-12-13,246171.9209775255,06037100009,31080
PROP000162,2021-09-24,323817.60576424963,06037100009,31080
PROP000163,2015-04-22,391251.501759242,06037100011,31080
PROP000163,2018-10-21,437061.6937923136,06037100011,31080
PROP000164,2018-02-23,477165.71034535253,06037100015,31080
PROP000165,2017-11-07,205691.26017709885,06037100012,31080
PROP000165,2019-01-22,231347.43106615767,06037100012,31080
PROP000166,2016-09-07,513511.51498071384,06037100011,31080
PROP000166,2020-08-11,592289.5756413977,06037100011,31080
PROP000166,2021-08-15,599956.8213332142,06037100011,31080
PROP000167,2015-01-21,792633.433841619,06037100017,31080
PROP000168,2015-08-04,330952.3327190385,06037100008,31080
PROP000169,2017-12-06,789398.3090480489,06037100004,31080
PROP000170,2016-09-07,794701.1756821859,06037100010,31080
PROP000170,2018-08-11,863451.7023379966,06037100010,31080
PROP000171,2016-11-02,430454.36689474975,06037100018,31080
PROP000171,2017-12-25,460356.8754264316,06037100018,31080
PROP000172,2018-10-17,304337.1495316924,06037100016,31080
PROP000172,2021-05-17,365913.48033639044,06037100016,31080
PROP000173,2015-08-03,689499.8749943706,06037100017,31080
PROP000173,2017-06-25,761949.0892058113,06037100017,31080
PROP000174,2019-02-11,726476.5175782283,06037100008,31080
PROP000174,2021-03-04,756278.9757975163,06037100008,31080
PROP000175,2016-12-10,685709.6448349268,06037100008,31080
PROP000176,2017-11-02,445071.92784241925,06037100007,31080
PROP000176,2020-04-29,523928.53249796515,06037100007,31080
PROP000177,2019-12-05,794885.2010870288,06037100005,31080
PROP000177,2021-03-03,825692.6773812595,06037100005,31080
PROP000178,2016-08-27,718695.7281844091,06037100018,31080
PROP000178,2020-08-02,945004.089975203,06037100018,31080
PROP000179,2017-09-21,608084.4630561803,06037100015,31080
PROP000179,2021-03-12,723456.3610915203,06037100015,31080
PROP000180,2019-11-13,723106.1166471392,06037100005,31080
PROP000181,2016-10-11,337175.09691495413,06037100018,31080
PROP000181,2021-05-29,393310.70796911366,06037100018,31080
PROP000182,2015-09-17,269506.3140681546,06037100012,31080
PROP000182,2018-03-19,317264.2984228841,06037100012,31080
PROP000183,2017-07-10,459344.47033550736,06037100012,31080
PROP000183,2021-11-17,514380.5590726107,06037100012,31080
PROP000184,2018-04-04,240702.23546310313,06037100004,31080
PROP000185,2015-10-22,407529.83417177404,06037100016,31080
PROP000185,2019-04-15,470366.8032771716,06037100016,31080
PROP000186,2019-12-04,588544.1860411445,06037100017,31080
PROP000187,2017-01-06,423100.1175432348,06037100011,31080
PROP000188,2016-02-14,481123.6500611506,06037100018,31080
PROP000189,2019-09-07,516214.45772711723,06037100003,31080
PROP000190,2016-04-22,278801.0758456268,06037100010,31080
PROP000191,2018-08-21,745714.7065686911,06037100002,31080
PROP000192,2015-05-03,387171.1942970783,06037100019,31080
PROP000192,2017-08-13,450726.3809529314,06037100019,31080
PROP000193,2015-08-12,537650.1718060296,06037100002,31080
PROP000194,2018-09-17,254698.694243715,06037100011,31080
PROP000194,2020-04-28,282901.06912485353,06037100011,31080
PROP000195,2017-12-21,747101.6209759467,06037100013,31080
PROP000196,2015-07-17,564383.8689576028,06037100019,31080
PROP000196,2017-07-12,587373.6771660511,06037100019,31080
PROP000197,2017-01-08,478759.1579814861,06037100001,31080
PROP000197,2020-09-27,587074.0261412592,06037100001,31080
PROP000198,2017-09-01,771589.1828232302,06037100017,31080
PROP000199,2015-01-12,791997.5559602879,06037100010,31080
PROP000199,2016-08-07,917263.171158772,06037100010,31080
PROP000200,2016-12-01,510626.98603082687,06037100019,31080
PROP000200,2018-04-08,545114.3690458903,06037100019,31080
PROP000201,2019-04-26,438153.9657209576,06037100012,31080
PROP000202,2016-10-18,692864.4368059199,06037100001,31080
PROP000202,2017-12-17,739107.0176047985,06037100001,31080
PROP000202,2019-06-16,798118.2763840754,06037100001,31080
PROP000203,2015-02-12,722581.4742476514,06037100008,31080
PROP000203,2018-12-20,835626.1656250344,06037100008,31080
PROP000204,2018-06-26,670299.5320513172,06037100006,31080
PROP000204,2021-05-28,820892.8791371128,06037100006,31080
PROP000205,2017-02-22,555967.1889861072,06037100008,31080
PROP000206,2019-03-26,397410.4626887973,06037100011,31080
PROP000207,2019-07-21,595224.6653005257,06037100013,31080
PROP000208,2017-06-05,797800.3496340452,06037100017,31080
PROP000209,2018-10-19,608136.9454587748,06037100008,31080
PROP000209,2020-02-01,665001.6564312109,06037100008,31080
PROP000210,2018-12-20,502906.9291358107,06037100019,31080
PROP000211,2018-10-21,437309.10190940916,06037100018,31080
PROP000212,2016-03-19,370312.717165187,06037100014,31080
PROP000212,2018-08-25,414919.8679376014,06037100014,31080
PROP000212,2021-03-07,498335.29167939664,06037100014,31080
PROP000213,2018-07-10,342525.9949543266,06037100000,31080
PROP000214,2019-05-06,495366.71386882087,06037100013,31080
PROP000214,2021-04-30,543227.5508985362,06037100013,31080
PROP000215,2015-04-02,257156.90477277577,06037100014,31080
PROP000215,2018-11-09,288637.15714800404,06037100014,31080
PROP000216,2015-08-12,278524.1964310099,06037100002,31080
PROP000216,2020-06-26,303092.21050373634,06037100002,31080
PROP000217,2016-03-22,301854.74305252446,06037100014,31080
PROP000218,2018-09-01,469660.30112824263,06037100009,31080
PROP000219,2018-12-25,563322.8945869297,06037100011,31080
PROP000219,2021-05-28,678845.2460120606,06037100011,31080
PROP000220,2018-11-20,361849.7669101938,06037100011,31080
PROP000220,2020-02-11,385797.39028790634,06037100011,31080
PROP000221,2019-01-23,334820.706183608,06037100004,31080
PROP000221,2020-10-11,384840.93359066546,06037100004,31080
PROP000222,2017-02-25,583471.9626893002,06037100017,31080
PROP000222,2021-08-15,774669.3441105053,06037100017,31080
PROP000223,2018-06-20,275444.9070839893,06037100014,31080
PROP000223,2019-12-30,290488.3586644315,06037100014,31080
PROP000224,2019-06-05,778008.0996922394,06037100000,31080
PROP000224,2021-06-11,875432.9235894841,06037100000,31080
PROP000225,2016-11-10,210509.59451723733,06037100000,31080
PROP000225,2018-11-01,233428.56947444536,06037100000,31080
PROP000226,2018-01-01,329405.0914386303,06037100007,31080
PROP000226,2021-08-19,397898.5956782201,06037100007,31080
PROP000227,2016-12-02,799648.2354623999,06037100015,31080
PROP000227,2018-02-10,846333.0935117468,06037100015,31080
PROP000228,2019-09-11,727109.3367808087,06037100015,31080
PROP000229,2017-06-02,657371.0808659694,06037100013,31080
PROP000229,2021-08-09,827910.5030451424,06037100013,31080
PROP000230,2015-05-15,578125.2489974865,06037100010,31080
PROP000230,2018-10-21,597456.1455620555,06037100010,31080
PROP000231,2015-03-12,208800.23422775828,06037100000,31080
PROP000232,2016-02-14,500267.1854784449,06037100010,31080
PROP000232,2019-04-15,622541.6091876917,06037100010,31080
PROP000233,2018-05-26,265351.00510803884,06037100007,31080
PROP000233,2019-12-29,272752.1134114096,06037100007,31080
PROP000234,2016-12-27,512740.4794912006,06037100003,31080
PROP000234,2021-04-10,640984.6556630273,06037100003,31080
PROP000235,2019-12-15,346089.3779457796,06037100010,31080
PROP000236,2018-05-13,410973.61234378064,06037100010,31080
PROP000236,2019-10-08,420328.6010960451,06037100010,31080
PROP000237,2019-12-03,548559.2319576787,06037100019,31080
PROP000237,2021-04-11,584659.6663774188,06037100019,31080
PROP000238,2019-04-26,273131.65600216854,06037100017,31080
PROP000238,2021-01-14,287712.6051854511,06037100017,31080
PROP000239,2015-10-10,750651.4935028264,06037100012,31080
PROP000240,2015-12-24,515899.5164922686,06037100019,31080
PROP000240,2017-06-04,562140.1542986485,06037100019,31080
PROP000241,2019-06-09,676246.3102283098,06037100012,31080
PROP000242,2015-10-27,668315.3091463171,06037100009,31080
PROP000242,2017-12-01,731688.3636919393,06037100009,31080
PROP000242,2021-08-01,953969.5692186957,06037100009,31080
PROP000243,2016-01-23,551965.0779052845,06037100017,31080
PROP000243,2017-09-24,611019.4632892313,06037100017,31080
PROP000244,2019-03-07,528018.447628442,06037100016,31080
PROP000245,2019-09-25,792671.3121289323,06037100009,31080
PROP000246,2016-03-10,456919.76895536884,06037100002,31080
PROP000246,2020-01-21,568915.1054259967,06037100002,31080
PROP000247,2018-03-04,634603.2902772446,06037100016,31080
PROP000248,2019-04-08,587173.9025154301,06037100009,31080
PROP000249,2017-06-09,570293.470037388,06037100008,31080
PROP000249,2020-03-15,669940.6853542757,06037100008,31080
PROP000250,2019-08-06,555687.1949920536,06037100011,31080
PROP000251,2019-10-03,314194.91769144067,06037100002,31080
PROP000251,2020-12-17,340717.8485864945,06037100002,31080
PROP000252,2015-03-02,467811.4107185853,06037100011,31080
PROP000252,2017-07-01,505214.81208306033,06037100011,31080
PROP000253,2015-07-16,445686.71180312237,06037100004,31080
PROP000254,2018-08-20,484931.92610373115,06037100015,31080
PROP000255,2017-08-22,795490.1012950251,06037100012,31080
PROP000256,2015-09-21,255757.48662763395,06037100007,31080
PROP000256,2017-09-30,284124.5101834139,06037100007,31080
PROP000257,2015-05-16,504103.05909228954,06037100007,31080
PROP000257,2017-01-02,534457.4487147448,06037100007,31080
PROP000258,2017-09-09,505834.5480510189,06037100008,31080
PROP000259,2016-04-18,509407.65661789867,06037100002,31080
PROP000259,2020-12-20,575728.7746121241,06037100002,31080
PROP000260,2018-05-20,325106.3086144015,06037100010,31080
PROP000261,2019-03-24,519488.7155356557,06037100009,31080
PROP000262,2018-09-15,441788.10725909687,06037100002,31080
PROP000262,2020-05-25,463915.4357831352,06037100002,31080
PROP000263,2016-09-02,279514.80364510906,06037100019,31080
PROP000263,2021-02-11,387593.80469183275,06037100019,31080
PROP000264,2015-06-14,304903.1763562475,06037100003,31080
PROP000264,2018-06-16,332010.1910407059,06037100003,31080
PROP000265,2016-04-25,339530.8150192281,06037100001,31080
PROP000266,2018-04-18,366651.5742495567,06037100012,31080
PROP000267,2018-07-19,431876.50469548826,06037100010,31080
PROP000267,2021-10-20,496752.17630303267,06037100010,31080
PROP000268,2016-11-18,234668.33659782,06037100001,31080
PROP000268,2020-08-28,269934.7316983838,06037100001,31080
PROP000269,2015-04-04,798018.112311786,06037100015,31080
PROP000269,2019-07-05,958324.0731654281,06037100015,31080
PROP000270,2019-04-04,516224.87834699097,06037100006,31080
PROP000271,2019-04-03,420655.6105263738,06037100006,31080
PROP000271,2021-11-27,492101.18584403064,06037100006,31080
PROP000272,2016-11-21,211515.36609383402,06037100004,31080
PROP000273,2016-08-07,571368.9158046329,06037100014,31080
PROP000273,2018-11-22,660431.7223631511,06037100014,31080
PROP000274,2019-02-05,775745.98659262,06037100017,31080
PROP000275,2017-05-20,359611.56680322846,06037100002,31080
PROP000276,2018-02-08,686411.5567917598,06037100003,31080
PROP000276,2021-07-23,796187.872611778,06037100003,31080
PROP000277,2015-08-09,765698.684847957,06037100016,31080
PROP000277,2019-11-01,1021910.6340945025,06037100016,31080
PROP000277,2021-02-19,1097944.6503850734,06037100016,31080
PROP000278,2017-07-02,431809.3459089893,06037100007,31080
PROP000278,2020-04-19,490641.2579903829,06037100007,31080
PROP000279,2018-07-24,729475.6642736599,06037100016,31080
PROP000279,2019-12-25,781274.8464574368,06037100016,31080
PROP000280,2015-07-11,595421.3205222085,06037100007,31080
PROP000281,2015-05-20,642505.0156754042,06037100018,31080
PROP000282,2018-03-07,670305.6060606043,06037100013,31080
PROP000282,2020-08-06,763330.5512172539,06037100013,31080
PROP000283,2016-06-15,249303.0004858564,06037100004,31080
PROP000283,2021-04-28,346507.40559276316,06037100004,31080
PROP000284,2016-03-17,353248.0908111317,06037100008,31080
PROP000284,2018-04-01,378864.80444425234,06037100008,31080
PROP000285,2016-07-18,393329.302066777,06037100008,31080
PROP000285,2018-01-16,411045.6215943483,06037100008,31080
PROP000286,2018-02-11,226241.3755279817,06037100012,31080
PROP000286,2019-07-22,242298.3730888089,06037100012,31080
PROP000287,2015-08-27,530055.1642748936,06037100017,31080
PROP000288,2018-05-12,318482.2939159624,06037100017,31080
PROP000289,2015-12-09,526409.947509651,06037100002,31080
PROP000289,2019-06-24,641664.0496948805,06037100002,31080
PROP000290,2017-09-22,523733.73229730304,06037100011,31080
PROP000291,2019-05-15,255122.53262602683,06037100012,31080
PROP000292,2017-07-24,405430.18162012787,06037100017,31080
PROP000293,2015-08-03,378529.07079129235,06037100010,31080
PROP000293,2018-11-04,489395.70143619186,06037100010,31080
PROP000294,2015-05-15,296508.9043746477,06037100006,31080
PROP000294,2018-08-06,360070.77800476894,06037100006,31080
PROP000295,2017-10-02,322421.38077733933,06037100002,31080
PROP000295,2020-12-20,395377.3177849977,06037100002,31080
PROP000296,2016-09-16,670275.0706912383,06037100006,31080
PROP000296,2019-12-04,716625.0034581675,06037100006,31080
PROP000297,2017-05-26,420985.718304109,06037100018,31080
PROP000297,2020-03-10,454603.19137382356,06037100018,31080
PROP000298,2019-06-08,307023.5505843979,06037100002,31080
PROP000299,2018-12-25,432604.1568502365,06037100009,31080
PROP000299,2021-08-03,492047.35911370063,06037100009,31080
PROP000300,2016-07-20,536396.0566497026,06037100002,31080
PROP000301,2017-12-19,498953.40935807215,06037100001,31080
PROP000301,2019-04-10,546135.0918710016,06037100001,31080
PROP000302,2016-06-21,673168.9788034438,06037100012,31080
PROP000302,2019-07-16,730887.2309658908,06037100012,31080
PROP000303,2016-04-17,558935.1764382432,06037100016,31080
